go_id,auc_sim,auc_real
GO:0006959,0.525401581698273,0.6331169388276587
GO:0006968,0.483742471601738,0.7886397558714463
GO:0006974,0.454307147657121,0.5764903216525552
GO:0006979,0.4540535040609385,0.55205842972348
GO:0006986,0.489933760520762,0.6887615745260393
GO:0006997,0.5168377443837939,0.5096671754898776
GO:0006998,0.4325143127753675,0.5099736688311689
GO:0007004,0.384054202604431,0.5171415398031411
GO:0007005,0.443114236217263,0.5494170223511013
GO:0007010,0.5207914247346855,0.5393152619054542
GO:0007015,0.47771815751869096,0.5520271254881869
GO:0007018,0.561119592875318,0.6266596588319552
GO:0007020,0.407904370455748,0.6070032566640997
GO:0007026,0.607191576569717,0.6334351184290292
GO:0007029,0.4326479378868315,0.5374800149693227
GO:0007030,0.47924701436947303,0.5979702044422996
GO:0007032,0.49912678453487747,0.578015420061247
GO:0007035,0.5534640437586316,0.6035555132879937
GO:0007040,0.528293889790421,0.5185336147693909
GO:0007041,0.5356947192208186,0.5701665043290043
GO:0007042,0.49173368512739846,0.652323289391086
GO:0007043,0.5209831079628304,0.5379659324222633
GO:0007049,0.49244587593669253,0.5573603381580754
GO:0007052,0.5166725014437334,0.5845160922117117
GO:0007059,0.48357939643937653,0.5988517558691828
GO:0007080,0.5202660078917509,0.5752291966666357
GO:0007088,0.39586301141450697,0.6023182417011487
GO:0007094,0.526017030662526,0.6378598333910834
GO:0007095,0.44381300627206,0.5521856316610345
GO:0007098,0.49514137641948053,0.5774596119126587
GO:0007099,0.40728196801718397,0.6598743663731648
GO:0007129,0.4836369577908065,0.646980413012883
GO:0007130,0.6050148390533445,0.6202664917027417
GO:0007131,0.5015878001116695,0.5540378443347194
GO:0007140,0.5186524552721734,0.5882890428791028
GO:0007141,0.541320845706744,0.523764251029876
GO:0007155,0.482794336227803,0.6165910977142927
GO:0007156,0.552536185610898,0.6608612532827951
GO:0007157,0.523664925126484,0.5212883825315655
GO:0007159,0.6147567108651565,0.7987156898418887
GO:0007160,0.48344982696019645,0.6305391910452651
GO:0007162,0.4536906940269245,0.5745723243706953
GO:0007163,0.5267541107925285,0.5346351136669795
GO:0007166,0.5244613483666696,0.6418392436232739
GO:0007169,0.5186538240698211,0.6005363399003085
GO:0007173,0.535033183309177,0.53557249313936
GO:0007179,0.4956892155207585,0.6237317125020522
GO:0007187,0.670885301446843,0.6796545156213092
GO:0007188,0.5621076973901555,0.6148088881662149
GO:0007189,0.5648124143550239,0.6723907501204857
GO:0007190,0.5484900761938589,0.6505623308433474
GO:0007193,0.5510877510806,0.6505663664307396
GO:0007200,0.539733312975545,0.7222753319584645
GO:0007202,0.49700290541874703,0.7080099998315513
GO:0007204,0.5188912484924755,0.6573753920512453
GO:0007205,0.6080938332698895,0.5835538484303833
GO:0007214,0.6516821492931295,0.6253402152152152
GO:0007218,0.656311464212295,0.7120198404925144
GO:0007219,0.467195993798331,0.5812249761360634
GO:0007224,0.5516208091307451,0.5918302869368782
GO:0007229,0.454596533021531,0.6620540321352929
GO:0007249,0.48010615762425446,0.6532712101482301
GO:0007254,0.484248505627457,0.5414515119740633
GO:0007259,0.533047250930518,0.6618409736220388
GO:0007264,0.42274401895589697,0.5941149939873372
GO:0007265,0.5066926545899255,0.5357754262360847
GO:0007266,0.4236738812611235,0.5666356098189114
GO:0007267,0.5551031666611685,0.6399676325953358
GO:0007268,0.642808203962614,0.6977337759581114
GO:0007269,0.6186023122414275,0.7067091679479128
