GO ID,n_genes,n_neurons_peak,pct_neurons_peak,auc_all,auc_noneurons,auc
GO:0045746,31,8,0.25806451612903225,0.4208282551289865,0.4703801035953685,0.4208282551289865
GO:0045747,40,9,0.225,0.529485518166058,0.5362021417361,0.529485518166058
GO:0045765,31,4,0.12903225806451613,0.478549664838513,0.551105778996547,0.478549664838513
GO:0045766,126,16,0.12698412698412698,0.48078595360495147,0.48473867922575054,0.48078595360495147
GO:0045773,24,9,0.375,0.587112993274965,0.562025758152519,0.587112993274965
GO:0045776,26,11,0.4230769230769231,0.496624279804056,0.46979460138582196,0.496624279804056
GO:0045785,49,11,0.22448979591836735,0.4559075451309435,0.466342486651411,0.4559075451309435
GO:0045786,45,9,0.2,0.47890041177367704,0.480494975683324,0.47890041177367704
GO:0045787,27,3,0.1111111111111111,0.4380408050450695,0.5568557439559569,0.4380408050450695
GO:0045807,17,5,0.29411764705882354,0.4797316491655255,0.5743139045300055,0.4797316491655255
GO:0045815,23,1,0.043478260869565216,0.481923539817876,0.5230627573806625,0.481923539817876
GO:0045821,20,3,0.15,0.5071648442719301,0.537189960338602,0.5071648442719301
GO:0045824,21,3,0.14285714285714285,0.49217826878049153,0.556765543787922,0.49217826878049153
GO:0045840,26,8,0.3076923076923077,0.48760279448717,0.444740824640219,0.48760279448717
GO:0045860,56,19,0.3392857142857143,0.501331332095279,0.5068509897365885,0.501331332095279
GO:0045861,17,2,0.11764705882352941,0.577233297823771,0.6145766752904176,0.577233297823771
GO:0045862,20,1,0.05,0.3953814344064745,0.467537272412073,0.3953814344064745
GO:0045879,24,3,0.125,0.487798185509453,0.5965248699403629,0.487798185509453
GO:0045880,36,11,0.3055555555555556,0.552163504280017,0.578704056491148,0.552163504280017
GO:0045907,26,12,0.46153846153846156,0.5435655092768855,0.3730408766719965,0.5435655092768855
GO:0045921,22,7,0.3181818181818182,0.511956415359019,0.479162815312621,0.511956415359019
GO:0045930,17,3,0.17647058823529413,0.569730634606605,0.5412798660782225,0.569730634606605
GO:0045931,31,5,0.16129032258064516,0.564655697745277,0.6233635486491975,0.564655697745277
GO:0045943,23,2,0.08695652173913043,0.426796952032945,0.5826119424627341,0.426796952032945
